Location (v2),Description
custom,"Groups core attributes of the security finding that describe its nature, impact, and status."
custom.severity,"Indicates the Datadog-adjusted severity level of the finding. Valid values: `critical`, `high`, `medium`, `low`, `info`, `none`, `unknown`."
custom.base_severity,"Indicates the base severity level of the finding before any adjustments. Valid values: `critical`, `high`, `medium`, `low`, `info`, `none`, `unknown`."
custom.status,"Indicates the workflow status of the finding. Valid values: `open`, `muted`, `auto_closed`."
custom.resource_id,Unique identifier of the resource affected by the finding.
custom.resource_name,Human-readable name of the resource affected by the finding.
custom.resource_type,Specifies the type of the resource.
custom.title,Human-readable title for the finding.
custom.origin,"Lists the detection origins that produced the finding, such as agentless scans, APM, SCI (Software Composition Analysis), or CI (Continuous Integration)."
custom.description,Provides a human-readable explanation of the finding. May include Markdown formatting.
custom.exposure_time_seconds,"Indicates the time elapsed, in seconds, between when the finding was last closed and when it was detected again."
custom.finding_type,"Defines the category of the finding. Valid values: `api_security`, `attack_path`, `runtime_code_vulnerability`, `static_code_vulnerability`, `host_and_container_vulnerability`, `iac_misconfiguration`, `identity_risk`, `library_vulnerability`, `misconfiguration`, `secret`, `workload_activity`."
custom.finding_id,Unique identifier of the finding.
custom.first_seen_at,Timestamp in milliseconds (UTC) when the finding was first detected.
custom.last_seen_at,Timestamp in milliseconds (UTC) when the finding was most recently detected.
custom.is_in_security_inbox,True if the finding appears in the Security Inbox; false otherwise.
custom.detection_changed_at,Timestamp in milliseconds (UTC) when the finding's evaluation or detection state last changed.
tags,Key-value metadata in the format `name:value`. Enables flexible filtering and grouping of findings. Must include at least `source` and `origin`.
custom.metadata,"Contains additional metadata about the finding, such as schema version or source context."
custom.metadata.schema_version,Indicates the findings schema version used for this finding. Current value: `2`.
custom.source_finding_raw_data,Contains raw data from third-party integrations that generated this finding.
custom.detection_tool,Indicates the tool responsible for detecting the security finding.
custom.detection_tool.name,Name of the detection tool or engine that generated this finding.
custom.detection_tool.version,Version of the detection tool or engine that generated this finding.
custom._dd,Contains internal Datadog attributes used for advanced processing or analytics.
custom._dd.rule.language,Indicates the language used to define the rule or query that produced the finding.
custom._dd.detection_changed,Whether the finding’s evaluation or detection state changed in this specific event or not.
custom._dd.rule.query,Contains the query string associated with the rule that generated the finding.
custom._dd.finding_publisher,"Identifies the component or service that generated the finding (for example, rego-processor or ciem)."
custom._dd.valid_since,UNIX timestamp (UTC) marking the start of the validity period for the finding.
custom._dd.valid_until,UNIX timestamp (UTC) marking the end of the validity period for the finding.
custom._dd.is_detected_by_shadow_rule,True if the finding was detected by a shadow (test) rule; false otherwise.
custom._dd.schema_version,Lists schema versions applied during migration or transformation.
custom._dd.pass,Contains the rule identifier if the finding passed that rule.
custom._dd.workflow.integrations.cases,Internal cases object. Used to store internal metadata about the case.
custom._dd.workflow.integrations.cases.status_group,"Indicates the case management status of the finding. Possible values: sg_open, sg_in_progress , sg_closed."
custom._dd.fail,Contains the rule identifier if the finding failed that rule.
custom._dd.finding_key,Unique key used internally for routing and correlation of finding events.
custom._dd.expire_at,Timestamp (UTC) when the finding will expire and no longer appear in views.
custom._dd.creation_code_path,"Indicates the processing path used to create the finding (for example, update, detection, or timer)."
custom._dd.update_code_path,"Indicates the processing path used to update the finding (for example, update, detection, or timer)."
custom._dd.closed_finding,True if this event represents a closed finding; false otherwise.
custom._dd.remediations_text,"The fields contains the list of remediations.
This field is used by the public API of vulnerabilities.

This list of remediations is a json stored as a string. This is a workaround of ddsql/evp where an entire subfield can not be queried.
This field will be removed once the public API of vulnerabilities is removed, in favor of the new public API of findings."
custom._dd.vulnerability_key,DEPRECATED. this field should no longer be used and will be removed when all existing usage is deleted We just need this to maintain backward compability during the transition
custom._dd.remediation_types,Array of all the remediation types included used for debugging.
custom._dd.visualization_context,
custom._dd.iast_evidence,"This object stores evidences of an IAST vulnerability, e.g. the parts of a query vulnerable to a SQL injection.

This object is optimized for the FE, to resurface nicely the evidences with vulnerable parts being highlighted.
The structure of the object is not user friendly, it is hardly understandable for a user (e.g. public doc, sheets, etc).
We are not sure how to structure it nicely for users, so we are deciding to hide this field in v2 under _dd .

If in the future some users are asking to have the evidences public, we'll gather their requirements to be sure to fill their needs."
custom._dd.iast_evidence.value_parts,
custom._dd.iast_evidence.value_parts.value,
custom._dd.iast_evidence.value_parts.source,
custom._dd.iast_evidence.value_parts.redacted,
custom._dd.iast_evidence.value_parts.index,
custom._dd.iast_evidence.sources,
custom._dd.iast_evidence.sources.redacted,
custom._dd.iast_evidence.sources.origin,
custom._dd.iast_evidence.sources.name,
custom._dd.iast_evidence.sources.index,
custom._dd.iast_evidence.sources.value,
custom.severity_details,"Contains detailed severity information for the finding, including base and adjusted severity."
custom.severity_details.base,"Contains the base severity of the finding as defined by the original rule, advisory, or scanner, before any contextual adjustments."
custom.severity_details.base.value,"Base severity level of the finding. Valid values: `critical`, `high`, `medium`, `low`, `info`, `none`, `unknown`."
custom.severity_details.base.value_id,"Numeric representation of the base severity. Values: `critical` = 10, `high` = 9, `medium` = 7, `low` = 4, `none` = 0."
custom.severity_details.base.score,Base numeric severity score of the finding (CVSS score).
custom.severity_details.base.vector,Base CVSS vector string that describes how the vulnerability can be exploited.
custom.severity_details.adjusted,Contains the adjusted severity of the finding after accounting for contextual or environmental factors.
custom.severity_details.adjusted.value,"Adjusted severity level after contextual weighting. Valid values: `critical`, `high`, `medium`, `low`, `info`, `none`, `unknown`."
custom.severity_details.adjusted.value_id,"Numeric representation of the adjusted severity. Values: `critical` = 10, `high` = 9, `medium` = 7, `low` = 4, `none` = 0."
