Location (v2),Description
custom,"Groups core attributes of the security finding that describe its nature, impact, and status."
custom.severity,"Indicates the Datadog adjusted severity level of the finding. Valid values: critical, high, medium, low, info, none, unknown."
custom.base_severity,"Indicates the base severity level of the finding. Valid values: critical, high, medium, low, info, none, unknown."
custom.status,"Indicates the workflow status of the finding. Possible values: open, muted, auto_closed."
custom.resource_id,The unique identifier of the resource affected by the finding.
custom.resource_name,Human-readable name of the resource affected by the finding.
custom.resource_type,Specifies the type of the resource.
custom.title,Human-readable title for the finding.
custom.origin,"Lists the detection origin that produced the finding, such as agentless scans, APM, SCI, or CI."
custom.description,Provides a human-readable explanation of the finding. May include Markdown formatting.
custom.exposure_time_seconds,"Indicates the time elapsed, in seconds, between when the finding was last closed and when it was first seen again."
custom.finding_type,"Defines the category of the finding. Possible values: api_security, attack_path, runtime_code_vulnerability, static_code_vulnerability, host_and_container_vulnerability, iac_misconfiguration, identity_risk, library_vulnerability, misconfiguration, secret, workload_activity."
custom.finding_id,Unique identifier of the finding.
custom.first_seen_at,Timestamp (UTC (Coordinated Universal Time)) of the first time the finding was detected.
custom.last_seen_at,Timestamp (UTC (Coordinated Universal Time)) of the most recent detection of the finding.
custom.is_in_security_inbox,True if the finding appears in the Security Inbox; false otherwise.
custom.detection_changed_at,Timestamp (UTC (Coordinated Universal Time)) of the last time the finding's evaluation or detection state changed.
tags,Key-value metadata in the format name:value. Enables flexible filtering and grouping of findings. Must include at least source and origin.
custom.metadata,"Additional metadata about the finding, such as schema version or source context."
custom.metadata.schema_version,Indicates the findings schema version used for this finding. Current value: 2.
custom.source_finding_raw_data,Raw data from third-party integrations that generated this finding.
custom.detection_tool,Indicates the tool responsible for detecting the security finding.
custom.detection_tool.name,Name of the detection tool or engine that generated this finding.
custom.detection_tool.version,Version of the detection tool or engine that generated this finding.
custom._dd,Internal field for Datadog use.
custom._dd.rule.language,Internal field for Datadog use.
custom._dd.detection_changed,Internal field for Datadog use.
custom._dd.rule.query,Internal field for Datadog use.
custom._dd.finding_publisher,Internal field for Datadog use.
custom._dd.valid_since,Internal field for Datadog use.
custom._dd.valid_until,Internal field for Datadog use.
custom._dd.is_detected_by_shadow_rule,Internal field for Datadog use.
custom._dd.schema_version,Internal field for Datadog use.
custom._dd.pass,Internal field for Datadog use.
custom._dd.workflow.integrations.cases,Internal field for Datadog use.
custom._dd.workflow.integrations.cases.status_group,Internal field for Datadog use.
custom._dd.fail,Internal field for Datadog use.
custom._dd.finding_key,Internal field for Datadog use.
custom._dd.expire_at,Internal field for Datadog use.
custom._dd.creation_code_path,Internal field for Datadog use.
custom._dd.update_code_path,Internal field for Datadog use.
custom._dd.closed_finding,Internal field for Datadog use.
custom._dd.remediations_text,Internal field for Datadog use.
custom._dd.vulnerability_key,Internal field. Deprecated and will be removed.
custom._dd.remediation_types,Internal field for Datadog use.
custom._dd.visualization_context,-
custom._dd.iast_evidence,Internal field for Datadog use.
custom._dd.iast_evidence.value_parts,-
custom._dd.iast_evidence.value_parts.value,-
custom._dd.iast_evidence.value_parts.source,-
custom._dd.iast_evidence.value_parts.redacted,-
custom._dd.iast_evidence.value_parts.index,-
custom._dd.iast_evidence.sources,-
custom._dd.iast_evidence.sources.redacted,-
custom._dd.iast_evidence.sources.origin,-
custom._dd.iast_evidence.sources.name,-
custom._dd.iast_evidence.sources.index,-
custom._dd.iast_evidence.sources.value,-
custom.severity_details,"Contains detailed severity information for the finding, including base and adjusted severity."
custom.severity_details.base,"Describes the base severity of the finding as defined by the original rule, advisory, or scanner, before any contextual adjustments."
custom.severity_details.base.value,"Base severity level of the finding. Valid values: critical, high, medium, low, info, none, unknown."
custom.severity_details.base.value_id,"Numeric representation of the base severity. Values: critical = 10, high = 9, medium = 7, low = 4, none = 0."
custom.severity_details.base.score,"Base numeric severity score of the finding (for example, CVSS score)."
custom.severity_details.base.vector,Base CVSS vector string that describes how the vulnerability can be exploited.
custom.severity_details.adjusted,Represents the adjusted severity of the finding after accounting for contextual or environmental factors.
custom.severity_details.adjusted.value,"Adjusted severity level after contextual weighting. Possible values: critical, high, medium, low, info, none, unknown."
custom.severity_details.adjusted.value_id,"Numeric representation of the adjusted severity. Values: critical = 10, high = 9, medium = 7, low = 4, none = 0."
custom.severity_details.adjusted.score,Adjusted numeric score. Derived from Datadog's internal scoring and aligned with CVSS scale.
custom.severity_details.adjusted.vector,Adjusted CVSS vector string that reflects contextual modifications.
custom.workflow,"Contains workflow namespace contains all mutable information related to the management of a finding, after it was detected. These should only be fields that can be updated manually by users through the UI, or automatically through the Automation Pipeline. ""the finding that is muted (with a reason) assignment to a JIRA ticket""."
custom.workflow.triage,Contains triage section contains assignment and status information. Assignment that may be synchronized with case/Jira information when present.
custom.workflow.triage.assignee,Contains the user assigned to this finding.
custom.workflow.triage.assignee.name,Display name of the assigned user.
custom.workflow.triage.assignee.id,Unique identifier for the assigned user in UUID format.
custom.workflow.triage.assignee.updated_at,Timestamp in milliseconds (UTC (Coordinated Universal Time)) when the assignee was last modified.
custom.workflow.triage.assignee.updated_by,Contains the user who last modified the assignee.
custom.workflow.triage.assignee.updated_by.id,Unique identifier in UUID format for the user who last modified the assignee.
custom.workflow.triage.assignee.updated_by.name,Display name of the user who last modified the assignee.
custom.workflow.triage.time_to_acknowledge_seconds,"Time, in seconds, between when the finding was first detected and the first manual triage action."
custom.workflow.triage.time_to_resolution_seconds,"Time, in seconds, between when the finding was first detected and when it was resolved (confirmed as fixed or muted) for findings that were previously triaged only, or muted."
